语料ID,文本,产品名称,年份,产品ID,情感得分,出现频次,产品热度总分,产品热度,产品类型判断文本,产品类型
餐饮评论-1376,颜值 美味 齐飞 好吃 不腻 服务 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2018,ID376,0.14285714285714285,125,375.2857142857143,0.0012619649075679567,餐饮评论-1376 颜值 美味 齐飞 好吃 不腻 服务 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1931,好吃 价格 比较 便宜 栗子 蛋糕 约 英寸 圆形,清香面包店（车田街店）,2019,ID931,0.11764705882352941,125,375.2352941176471,0.0012617953607924938,餐饮评论-1931 好吃 价格 比较 便宜 栗子 蛋糕 约 英寸 圆形,特色餐饮
餐饮评论-1669,榴莲 味道 很足 适合 个人 吃 超级 棒 非常 喜欢 吃 联系 有点 麻烦 希望 下次 商家 收到 短信 回复 一下 一个 字 样子 知道 是否 收到 知道 需求 希望 生意 越来越 嘻嘻 嘻嘻 嘻嘻 榴莲 千层 蛋糕 约 磅 圆,清香面包店（车田街店）,2018,ID669,0.11538461538461539,125,375.2307692307692,0.0012617801450562343,餐饮评论-1669 榴莲 味道 很足 适合 个人 吃 超级 棒 非常 喜欢 吃 联系 有点 麻烦 希望 下次 商家 收到 短信 回复 一下 一个 字 样子 知道 是否 收到 知道 需求 希望 生意 越来越 嘻嘻 嘻嘻 嘻嘻 榴莲 千层 蛋糕 约 磅 圆,特色餐饮
餐饮评论-1290,蛋糕 美味 好吃 店家 服务态度 约定 时间 帮 送 蛋糕 推荐 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2018,ID290,0.1111111111111111,125,375.22222222222223,0.0012617514042210774,餐饮评论-1290 蛋糕 美味 好吃 店家 服务态度 约定 时间 帮 送 蛋糕 推荐 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1138,不错 好吃 实惠 做 蛋糕 速度 很快 水果 忌廉 蛋糕 层个 约 磅 圆,清香面包店（车田街店）,2018,ID138,0.1111111111111111,125,375.22222222222223,0.0012617514042210774,餐饮评论-1138 不错 好吃 实惠 做 蛋糕 速度 很快 水果 忌廉 蛋糕 层个 约 磅 圆,特色餐饮
餐饮评论-1943,非常 好吃 强烈推荐 水果 全是 新鲜 蛋糕 好吃 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2019,ID943,0.10714285714285714,125,375.2142857142857,0.0012617247163027175,餐饮评论-1943 非常 好吃 强烈推荐 水果 全是 新鲜 蛋糕 好吃 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-1622,不错 很多 图案 选择 小朋友 喜欢 蛋糕 选约 磅 圆,清香面包店（车田街店）,2018,ID622,0.1,125,375.2,0.0012616766780496696,餐饮评论-1622 不错 很多 图案 选择 小朋友 喜欢 蛋糕 选约 磅 圆,特色餐饮
餐饮评论-1715,创意 男朋友 喜欢 蛋糕 选,清香面包店（车田街店）,2019,ID715,0.1,125,375.2,0.0012616766780496696,餐饮评论-1715 创意 男朋友 喜欢 蛋糕 选,特色餐饮
餐饮评论-1587,好吃 老板 友好 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2018,ID587,0.09523809523809523,125,375.1904761904762,0.0012616446525476376,餐饮评论-1587 好吃 老板 友好 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1258,玫瑰 蛋糕 美美 滴 好吃 不错 老板 好说话 服务 特别 送货上门 值得 够买 试试 玫瑰花 蛋糕 玫瑰花 蛋糕 约 磅 心形,清香面包店（车田街店）,2018,ID258,0.09302325581395349,125,375.1860465116279,0.0012616297569652973,餐饮评论-1258 玫瑰 蛋糕 美美 滴 好吃 不错 老板 好说话 服务 特别 送货上门 值得 够买 试试 玫瑰花 蛋糕 玫瑰花 蛋糕 约 磅 心形,特色餐饮
餐饮评论-1609,听说 味道 不错 配送 过程 真的 生气 配送费 付费 配送 迟到 图一 卖家 秀图 二 买家 秀 挺 符合 玩 找茬 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2018,ID609,0.09259259259259259,125,375.18518518518516,0.0012616268606020643,餐饮评论-1609 听说 味道 不错 配送 过程 真的 生气 配送费 付费 配送 迟到 图一 卖家 秀图 二 买家 秀 挺 符合 玩 找茬 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-2078,好吃 家人 喜欢 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2019,ID1078,0.09090909090909091,125,375.1818181818182,0.0012616155384548814,餐饮评论-2078 好吃 家人 喜欢 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-2075,味道 不错 价格 实惠 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2019,ID1075,0.09090909090909091,125,375.1818181818182,0.0012616155384548814,餐饮评论-2075 味道 不错 价格 实惠 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-1273,太 喜欢 蛋糕 很棒 水果 忌廉 蛋糕 层个 约 磅 圆,清香面包店（车田街店）,2018,ID273,0.09090909090909091,125,375.1818181818182,0.0012616155384548814,餐饮评论-1273 太 喜欢 蛋糕 很棒 水果 忌廉 蛋糕 层个 约 磅 圆,特色餐饮
餐饮评论-1592,蛋糕 好吃 好看 要求 配送 店家 态度 感谢 感谢 新鲜 水果 蛋糕 约 磅 圆形,清香面包店（车田街店）,2018,ID592,0.08333333333333333,125,375.1666666666667,0.0012615645887925579,餐饮评论-1592 蛋糕 好吃 好看 要求 配送 店家 态度 感谢 感谢 新鲜 水果 蛋糕 约 磅 圆形,特色餐饮
餐饮评论-1077,店主 免费 送货上门 蛋糕 好吃 分量 足 一天 没 吃 完 放到 第二天 好吃 实惠 四个 一次 吃不完 满意 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2018,ID77,0.08163265306122448,125,375.16326530612247,0.0012615531511132607,餐饮评论-1077 店主 免费 送货上门 蛋糕 好吃 分量 足 一天 没 吃 完 放到 第二天 好吃 实惠 四个 一次 吃不完 满意 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-1114,榴莲 千层 味道 一如既往 价格 实惠 主要 榴莲 良心 卖 水果 忌廉 夹心 栗子 蓉 蛋糕 榴莲 千层 蛋糕 榴莲 千层 蛋糕 约 磅 圆,清香面包店（车田街店）,2018,ID114,0.08,125,375.16,0.0012615421709411356,餐饮评论-1114 榴莲 千层 味道 一如既往 价格 实惠 主要 榴莲 良心 卖 水果 忌廉 夹心 栗子 蓉 蛋糕 榴莲 千层 蛋糕 榴莲 千层 蛋糕 约 磅 圆,特色餐饮
餐饮评论-2056,知道 订购 回 反正 好吃 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2019,ID1056,0.07407407407407407,125,375.14814814814815,0.0012615023169830512,餐饮评论-2056 知道 订购 回 反正 好吃 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-2040,第二次 购买 孩子 喜欢 超级 好吃 水果 忌廉 蛋糕 层个 约 磅 圆,清香面包店（车田街店）,2019,ID1040,0.07407407407407407,125,375.14814814814815,0.0012615023169830512,餐饮评论-2040 第二次 购买 孩子 喜欢 超级 好吃 水果 忌廉 蛋糕 层个 约 磅 圆,特色餐饮
餐饮评论-1940,第一次 购买 真心 卖家 里面 夹心 新鲜 水果 味道 真的 好吃 下次 需要 还会来 家 购买 水果 忌廉 夹心 水果 忌廉 蛋糕 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2019,ID940,0.07407407407407407,125,375.14814814814815,0.0012615023169830512,餐饮评论-1940 第一次 购买 真心 卖家 里面 夹心 新鲜 水果 味道 真的 好吃 下次 需要 还会来 家 购买 水果 忌廉 夹心 水果 忌廉 蛋糕 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1430,蛋糕 好吃 水果 新鲜 很漂亮 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2018,ID430,0.07407407407407407,125,375.14814814814815,0.0012615023169830512,餐饮评论-1430 蛋糕 好吃 水果 新鲜 很漂亮 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1438,经济 实惠 宝宝 喜欢 吃 玩具 玩越 开心 蛋糕 选约 磅 圆,清香面包店（车田街店）,2018,ID438,0.07142857142857142,125,375.14285714285717,0.0012614845250374781,餐饮评论-1438 经济 实惠 宝宝 喜欢 吃 玩具 玩越 开心 蛋糕 选约 磅 圆,特色餐饮
餐饮评论-1744,建议 订 之前 店家 说明 哪款 没说 清楚 安排 绿色 蛋糕 很棒 蛋糕 选约 磅 圆,清香面包店（车田街店）,2019,ID744,0.06976744186046512,125,375.13953488372096,0.0012614733533507227,餐饮评论-1744 建议 订 之前 店家 说明 哪款 没说 清楚 安排 绿色 蛋糕 很棒 蛋糕 选约 磅 圆,特色餐饮
餐饮评论-1615,不错 小孩 特别 喜欢 以前 从未 订过 这种 卡通 蛋糕 第一次 网上 订 好评 蛋糕 选约 磅 圆,清香面包店（车田街店）,2018,ID615,0.06896551724137931,125,375.13793103448273,0.0012614679601226338,餐饮评论-1615 不错 小孩 特别 喜欢 以前 从未 订过 这种 卡通 蛋糕 第一次 网上 订 好评 蛋糕 选约 磅 圆,特色餐饮
餐饮评论-2135,满意 口感 不错 玫瑰花 蛋糕 约 磅 心形,清香面包店（车田街店）,2019,ID1135,0.06666666666666667,125,375.1333333333333,0.0012614524995354461,餐饮评论-2135 满意 口感 不错 玫瑰花 蛋糕 约 磅 心形,特色餐饮
餐饮评论-1461,满意 蛋糕 选约 磅 圆,清香面包店（车田街店）,2018,ID461,0.06666666666666667,125,375.1333333333333,0.0012614524995354461,餐饮评论-1461 满意 蛋糕 选约 磅 圆,特色餐饮
餐饮评论-1324,蛋糕 母亲节 定 非常 好吃 麻将 蛋糕 自摸 十三幺 次,清香面包店（车田街店）,2018,ID324,0.06666666666666667,125,375.1333333333333,0.0012614524995354461,餐饮评论-1324 蛋糕 母亲节 定 非常 好吃 麻将 蛋糕 自摸 十三幺 次,特色餐饮
餐饮评论-1024,好好看 好吃 送货上门 真心 感谢 帅哥 老板 水果 忌廉 蛋糕 层个 约 磅 圆,清香面包店（车田街店）,2018,ID24,0.06451612903225806,125,375.1290322580645,0.0012614380364054962,餐饮评论-1024 好好看 好吃 送货上门 真心 感谢 帅哥 老板 水果 忌廉 蛋糕 层个 约 磅 圆,特色餐饮
餐饮评论-2167,蛋糕 好吃 夹心 非常 棒 足料 送给 小姑子 喜欢 家人 喜欢 吃 以后 蛋糕 认准 蛋糕 小王子 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2019,ID1167,0.06382978723404255,125,375.1276595744681,0.001261433420512959,餐饮评论-2167 蛋糕 好吃 夹心 非常 棒 足料 送给 小姑子 喜欢 家人 喜欢 吃 以后 蛋糕 认准 蛋糕 小王子 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1476,蛋糕 超级 好吃 下次 再订 大点 嘻嘻 很漂亮 超值 蛋糕 送到 家 楼下 开心 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2018,ID476,0.06382978723404255,125,375.1276595744681,0.001261433420512959,餐饮评论-1476 蛋糕 超级 好吃 下次 再订 大点 嘻嘻 很漂亮 超值 蛋糕 送到 家 楼下 开心 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-1529,吃 肯定 不怎么 毕竟 玫瑰 不能 吃 奶油 蛋糕 颜值 真的 特别 高 特别 好看 真是 特别 特别 特别 喜欢 长 真的 很漂亮 卖家 要求 写 字 这款 蛋糕 简直 表白 暧昧 气氛 秒杀 生日 开心 玫瑰花 蛋糕 约 磅 心形,清香面包店（车田街店）,2018,ID529,0.06329113924050633,125,375.126582278481,0.0012614297979137525,餐饮评论-1529 吃 肯定 不怎么 毕竟 玫瑰 不能 吃 奶油 蛋糕 颜值 真的 特别 高 特别 好看 真是 特别 特别 特别 喜欢 长 真的 很漂亮 卖家 要求 写 字 这款 蛋糕 简直 表白 暧昧 气氛 秒杀 生日 开心 玫瑰花 蛋糕 约 磅 心形,特色餐饮
餐饮评论-1295,话 说 找 店家 定 求婚 蛋糕 成功 水果 忌廉 蛋糕 层个 约 磅 圆,清香面包店（车田街店）,2018,ID295,0.0625,125,375.125,0.001261424477221168,餐饮评论-1295 话 说 找 店家 定 求婚 蛋糕 成功 水果 忌廉 蛋糕 层个 约 磅 圆,特色餐饮
餐饮评论-1515,第三次 这家 店里 订 蛋糕 一次 蛋糕 有点 特别 有点 咸咸的 吃 起来 腻味 道 不错 两个 月 订 蛋糕 希望 惊喜 每次 款式 喜欢 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2018,ID515,0.06153846153846154,125,375.12307692307695,0.001261418010533258,餐饮评论-1515 第三次 这家 店里 订 蛋糕 一次 蛋糕 有点 特别 有点 咸咸的 吃 起来 腻味 道 不错 两个 月 订 蛋糕 希望 惊喜 每次 款式 喜欢 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-1305,口感 非常 蛋糕 水果 十分 新鲜 送货 小哥 特别 帅 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2018,ID305,0.06060606060606061,125,375.1212121212121,0.0012614117398055873,餐饮评论-1305 口感 非常 蛋糕 水果 十分 新鲜 送货 小哥 特别 帅 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-1727,第二次 买 蛋糕 好吃 水果 新鲜 谢谢你们 用心 做 蛋糕 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2019,ID727,0.05555555555555555,125,375.1111111111111,0.0012613777733640381,餐饮评论-1727 第二次 买 蛋糕 好吃 水果 新鲜 谢谢你们 用心 做 蛋糕 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-1335,说真的 这家 店 蛋糕 真的 不错 新鲜 吊打 江滨 蛋糕 完全 没 问题 老板 哥哥 服务 周到 做 送 说真的 蛋糕 外面 买 肯定 反正 物美价廉 味道 不错 材料 充足 下次 还会 光顾 水果 忌廉 夹心 榴莲 千层 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2018,ID335,0.054945054945054944,125,375.1098901098901,0.0012613736675304444,餐饮评论-1335 说真的 这家 店 蛋糕 真的 不错 新鲜 吊打 江滨 蛋糕 完全 没 问题 老板 哥哥 服务 周到 做 送 说真的 蛋糕 外面 买 肯定 反正 物美价廉 味道 不错 材料 充足 下次 还会 光顾 水果 忌廉 夹心 榴莲 千层 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1688,蛋糕 好吃 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2018,ID688,0.05263157894736842,125,375.10526315789474,0.0012613581085820888,餐饮评论-1688 蛋糕 好吃 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-1895,好吃 好评 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2019,ID895,0.05263157894736842,125,375.10526315789474,0.0012613581085820888,餐饮评论-1895 好吃 好评 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1723,感觉 好好 吃水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2019,ID723,0.047619047619047616,125,375.0952380952381,0.0012613243975273182,餐饮评论-1723 感觉 好好 吃水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-2041,茂名 大大小小 蛋糕店 很多 能够 做到 味道 价格 深得民心 少之又少 不太会 夸人 用心 一个 顾客 细心 聆听 一位 顾客 要求 努力完成 店家 终究会 获得成功 早就 发现 你家 宝藏 开心 祝 今后 你家 蛋糕 越来越 分店 越来越 成功 爱心 栗子 蛋糕 约 英寸 圆形,清香面包店（车田街店）,2019,ID1041,0.04395604395604396,125,375.0879120879121,0.0012612997625257554,餐饮评论-2041 茂名 大大小小 蛋糕店 很多 能够 做到 味道 价格 深得民心 少之又少 不太会 夸人 用心 一个 顾客 细心 聆听 一位 顾客 要求 努力完成 店家 终究会 获得成功 早就 发现 你家 宝藏 开心 祝 今后 你家 蛋糕 越来越 分店 越来越 成功 爱心 栗子 蛋糕 约 英寸 圆形,特色餐饮
餐饮评论-1794,比较 好吃 不错 进口 动物 奶油 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2019,ID794,0.043478260869565216,125,375.0869565217391,0.001261296549264682,餐饮评论-1794 比较 好吃 不错 进口 动物 奶油 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-1496,之前 订 一次 介绍 很多 朋友 这家 店订 再次 订 以后 家里 有人 生日 这家 店 奶油 好吃 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2018,ID496,0.0425531914893617,125,375.0851063829787,0.0012612903278443057,餐饮评论-1496 之前 订 一次 介绍 很多 朋友 这家 店订 再次 订 以后 家里 有人 生日 这家 店 奶油 好吃 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1361,行 送过来 时间 有点 慢 新鲜 水果 蛋糕 约 磅 圆形,清香面包店（车田街店）,2018,ID361,0.041666666666666664,125,375.0833333333333,0.0012612843656497784,餐饮评论-1361 行 送过来 时间 有点 慢 新鲜 水果 蛋糕 约 磅 圆形,特色餐饮
餐饮评论-1714,挺好吃 過幾天 打算 再訂 一個 吃 进口 动物 奶油 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2019,ID714,0.041666666666666664,125,375.0833333333333,0.0012612843656497784,餐饮评论-1714 挺好吃 過幾天 打算 再訂 一個 吃 进口 动物 奶油 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-1472,次 购买 回头客 味道 依旧 好用 新鲜 水果 料 依旧 很多 价格 经济 实惠 真的 用心 做 东西 真的 好吃 老板 热情 老人 说 好吃 比起 蛋糕店 味道好 价格 实惠 性价比 真的 下次 还会 光顾 老板 点个 赞 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2018,ID472,0.04040404040404041,125,375.0808080808081,0.0012612758740393913,餐饮评论-1472 次 购买 回头客 味道 依旧 好用 新鲜 水果 料 依旧 很多 价格 经济 实惠 真的 用心 做 东西 真的 好吃 老板 热情 老人 说 好吃 比起 蛋糕店 味道好 价格 实惠 性价比 真的 下次 还会 光顾 老板 点个 赞 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1928,味道 不错 价格 实惠 老板 热情 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2019,ID928,0.04,125,375.08,0.0012612731567240671,餐饮评论-1928 味道 不错 价格 实惠 老板 热情 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1008,蛋糕 很漂亮 非常 好吃 奶油 很厚 不腻 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2018,ID8,0.04,125,375.08,0.0012612731567240671,餐饮评论-1008 蛋糕 很漂亮 非常 好吃 奶油 很厚 不腻 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-2134,好吃 老客户 买 几回 蛋糕 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2019,ID1134,0.038461538461538464,125,375.0769230769231,0.001261262810023411,餐饮评论-2134 好吃 老客户 买 几回 蛋糕 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-1992,味道 不错 水果 新鲜 份量 足 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2019,ID992,0.038461538461538464,125,375.0769230769231,0.001261262810023411,餐饮评论-1992 味道 不错 水果 新鲜 份量 足 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1207,微信 加元 换 新鲜 芒果 共花元 免费 送货上门 官山 一路 服务态度 歧视 美团 提前 小时 订 蛋糕 新鲜 囗 感 不太甜 芭比娃娃 塑料 公仔 外加 枚 草莓 选型 可爱 芒果 少 刀叉 不靓 之外 甚 芭比娃娃 卡通 蛋糕 水果 夹心 约 磅 圆,清香面包店（车田街店）,2018,ID207,0.037037037037037035,125,375.0740740740741,0.0012612532297450252,餐饮评论-1207 微信 加元 换 新鲜 芒果 共花元 免费 送货上门 官山 一路 服务态度 歧视 美团 提前 小时 订 蛋糕 新鲜 囗 感 不太甜 芭比娃娃 塑料 公仔 外加 枚 草莓 选型 可爱 芒果 少 刀叉 不靓 之外 甚 芭比娃娃 卡通 蛋糕 水果 夹心 约 磅 圆,特色餐饮
餐饮评论-1263,蛋糕 好吃 奶油 吃 有点 腻 芭比娃娃 卡通 蛋糕 水果 夹心 约 磅 圆,清香面包店（车田街店）,2018,ID263,0.037037037037037035,125,375.0740740740741,0.0012612532297450252,餐饮评论-1263 蛋糕 好吃 奶油 吃 有点 腻 芭比娃娃 卡通 蛋糕 水果 夹心 约 磅 圆,特色餐饮
餐饮评论-1703,不错 舍友 说 超级 喜欢 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2018,ID703,0.037037037037037035,125,375.0740740740741,0.0012612532297450252,餐饮评论-1703 不错 舍友 说 超级 喜欢 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-1524,味道 不错 家人 喜欢 太远 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2018,ID524,0.037037037037037035,125,375.0740740740741,0.0012612532297450252,餐饮评论-1524 味道 不错 家人 喜欢 太远 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1586,老板 服务 非常 蛋糕 好吃 不贵赞 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2018,ID586,0.03571428571428571,125,375.07142857142856,0.0012612443337722385,餐饮评论-1586 老板 服务 非常 蛋糕 好吃 不贵赞 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-2150,很值 好吃 买 多次 老 顾客 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2019,ID1150,0.03571428571428571,125,375.07142857142856,0.0012612443337722385,餐饮评论-2150 很值 好吃 买 多次 老 顾客 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-1440,水果 新鲜 服务态度 分量 够 吃水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2018,ID440,0.03571428571428571,125,375.07142857142856,0.0012612443337722385,餐饮评论-1440 水果 新鲜 服务态度 分量 够 吃水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1655,感觉 不错 咯 朋友 推荐 过来 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2018,ID655,0.03333333333333333,125,375.06666666666666,0.0012612283210212225,餐饮评论-1655 感觉 不错 咯 朋友 推荐 过来 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-1286,老板 热心 性价比 超高 一次 体验 下次 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2018,ID286,0.03333333333333333,125,375.06666666666666,0.0012612283210212225,餐饮评论-1286 老板 热心 性价比 超高 一次 体验 下次 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
