语料ID,文本,产品名称,年份,产品ID
餐饮评论-1108,"经常吃这个，鸡肉卷和骨肉都很不错
超值汉堡单人餐，提供免费WiFi",优乐堡（开发区店）,2018,ID108
餐饮评论-1109,"性价比高，就这点就可以了()
滋味烤鸡双人餐，提供免费WiFi",优乐堡（开发区店）,2018,ID109
餐饮评论-1110,"慢到爆表，很失望，以后不想来了
主食3选1，有赠品",盛香烧鹅（东方市场店）,2018,ID110
餐饮评论-1111,"很好，来过很多次了，希望多搞优惠！每次都会买几份！
汉堡+鸡腿套餐，建议单人使用",优乐堡（开发区店）,2018,ID111
餐饮评论-1112,"很好，来过很多次了，希望多搞优惠！
汉堡+鸡腿套餐，建议单人使用",优乐堡（开发区店）,2018,ID112
餐饮评论-1113,"很不错呢
双人超值饮品套餐，包间免费",爱丽丝音乐餐吧,2018,ID113
餐饮评论-1114,"榴莲千层味道一如既往的好，价格又实惠！主要的是榴莲多，良心卖！ #水果忌廉夹心# #栗子蓉蛋糕# #榴莲千层蛋糕#
榴莲千层蛋糕1个，约2磅，圆",清香面包店（车田街店）,2018,ID114
餐饮评论-1115,"不错呢
双人餐A1份，提供免费WiFi",鲜饮时光（高州店）,2018,ID115
餐饮评论-1116,"服务周到，分量很足，环境不错。
汉堡+鸡腿套餐，建议单人使用",优乐堡（开发区店）,2018,ID116
餐饮评论-1117,"热热的水果好吃
披萨15选1，提供免费WiFi",尊霸披萨,2018,ID117
餐饮评论-1118,"一杯奶茶还有8、9粒鱼蛋，性价比很高，店主很热情，速度很快。
一份咖喱鱼蛋+一杯珍珠奶茶，建议单人使用",鲜饮时光（高州店）,2018,ID118
餐饮评论-1119,"蛋糕的味道还可以，价格蛮优惠的
9英寸重口味版榴莲千层蛋糕（约3磅）1个，约9英寸，圆形",甜在心扉千层蛋糕（茂名店）,2018,ID119
餐饮评论-1120,"一个人去吃，这个套餐刚好，好好享受了午餐
套餐2选1，提供免费WiFi",瀛食精致料理,2018,ID120
餐饮评论-1121,"味道一般，环境不错，价格还可以吧
奶油南瓜汤、奶油土豆汤、海鲜沙拉、安格斯肉眼牛排、纽西兰羊排、提拉米苏、拿破仑酥、鲜榨果汁2杯1份",茂名浪漫海岸温德姆酒店望海餐厅,2018,ID121
餐饮评论-1122,"小孩喜欢吃
大胃王单人套餐，提供免费WiFi",旺角亭（为民店）,2018,ID122
餐饮评论-1123,"上菜比较慢，味道很好吃
2-3人美味餐，提供免费WiFi",驰名湘菜馆,2018,ID123
餐饮评论-1124,"东西不好吃，上菜特别慢！太咸了
爱可单人扒餐，提供免费WiFi",爱可咖啡馆（茂南店）,2018,ID124
餐饮评论-1125,"性价比高
2-3人超值套餐",渔乐码头烤鱼牛蛙晚饭餐厅,2018,ID125
餐饮评论-1126,"没给蜡烛，盘，叉，刀，什么都没有 ，太失望。
蛋糕2选1,约3磅，圆",茂香面包坊总店,2018,ID126
餐饮评论-1127,"口感很好，材料新鲜，价格实惠，下次还会再来光顾
蛋糕4选1,约3磅，圆形",优之品西点,2018,ID127
餐饮评论-1128,"蛋糕很好吃，奶油不甜腻
蛋糕4选1,约3磅，圆形",优之品西点,2018,ID128
餐饮评论-1129,"很好吃我和孩子很喜欢！
榴莲千层切件1个，约1件，三角形",甜在心扉千层蛋糕（茂名店）,2018,ID129
餐饮评论-1130,"还好
榴莲千层蛋糕1个，约2磅，圆形",果之度（迎宾三路店）,2018,ID130
餐饮评论-1131,"榴莲千层味道挺好。就是感觉比以前份量少了。不过还是一样好吃。
榴莲千层/榴莲雪媚娘2选1",鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,2018,ID131
餐饮评论-1132,"鸡肉卷还是某华好吃，这里的鸡肉卷饼皮较硬。鸡腿超赞，又大又香，满满的肉汁！！！ #炸鸡腿#
汉堡+鸡腿套餐，建议单人使用",优乐堡（开发区店）,2018,ID132
餐饮评论-1133,"这家店的紫菜卷我吃的那次没什么味道，就是紫菜里面没有味道，口味也不是说很好吃，一般般吧，其他还可以。
百思黑米紫菜卷1份",小乔紫菜卷（小乔店）,2018,ID133
餐饮评论-1134,"价格实惠，味道超赞
蛋糕2选1,约8英寸，圆形",优之品西点,2018,ID134
餐饮评论-1135,"紫菜卷很好吃，卫生很干净，很满意
紫菜肉松卷1份，提供免费WiFi",小乔紫菜卷（小乔店）,2018,ID135
餐饮评论-1136,"味道一般，不推荐
2-3人套餐，包间免费",尊霸披萨,2018,ID136
餐饮评论-1137,"好吃，孩子很喜欢
蛋糕2选1，提供免费WiFi",优之品西点,2018,ID137
餐饮评论-1138,"不错 好吃又实惠 做蛋糕速度很快。
水果忌廉蛋糕（3层）1个，约8磅，圆",清香面包店（车田街店）,2018,ID138
餐饮评论-1139,"还不错
小吃6选1，提供免费WiFi",功夫鸡排（光华北路店）,2018,ID139
餐饮评论-1140,"朋友说榴莲千层非常好吃 #榴莲千层蛋糕#
榴莲千层切糕1份",果之度（迎宾三路店）,2018,ID140
餐饮评论-1141,"东西不错，服务也周到。环境好
2-3人超值套餐",渔乐码头烤鱼牛蛙晚饭餐厅,2018,ID141
餐饮评论-1142,"还好吧，就是一点蛋糕加点芒果。
蛋糕2选1，提供免费WiFi",优之品西点,2018,ID142
餐饮评论-1143,"味道没有以前好吃，很一般，一般
紫菜肉松卷1份，提供免费WiFi",小乔紫菜卷（小乔店）,2018,ID143
餐饮评论-1144,"味道一般，态度超差，老板和老板娘不亲善，很沟屎，不知是不是家财万贯？惨过我欠他十万九千七咁个款？想不明白，做生意的人态度点可以咁差？1
脆皮热狗卷1份，提供免费WiFi",小乔紫菜卷（小乔店）,2018,ID144
餐饮评论-1145,"卧槽！这味道惊艳到了，里面居然是真的榴莲肉！好吃到没法用言语表达，绝对值得推荐！
约3磅土豪版超多榴莲千层蛋糕(5层榴莲果肉)1个，约8英寸，圆",甜在心扉千层蛋糕（茂名店）,2018,ID145
餐饮评论-1146,"超好吃，特别喜欢吃那芒果的蛋糕下次还会找你家订的。
蛋糕4选1,约3磅，圆形",优之品西点,2018,ID146
餐饮评论-1147,"蛋糕松软，挺好吃的。不错、不错。给100000000000000000个
蛋糕2选1,约8英寸，圆形",优之品西点,2018,ID147
餐饮评论-1148,"经常买，好吃！
日式鸡柳卷1份，提供免费WiFi",小乔紫菜卷（小乔店）,2018,ID148
餐饮评论-1149,"不错，定了十寸的咸奶油。妈妈很喜欢，咸咸地，不会很甜，水果很多，草莓吃的好过瘾。就是写字有点傻。。  本来想写，我的妈呀，健康快乐，  不知道店家为啥帮我后面多了个“吗”字  哈哈
100元代金券1张，除牛奶饮料外全场通用",优之品西点,2018,ID149
餐饮评论-1150,"以前很喜欢吃的。现在也喜欢
大胃王单人套餐，提供免费WiFi",旺角亭（为民店）,2018,ID150
餐饮评论-1151,"不错不错
榴莲千层蛋糕（土豪版）1份",甜在心扉千层蛋糕（茂名店）,2018,ID151
餐饮评论-1152,"这是我吃过最差的一次快餐，没有之一。给的烧鸭全是骨头和屁股肉。如图。
主食3选1，有赠品",盛香烧鹅（东方市场店）,2018,ID152
餐饮评论-1153,"味道还不错，价格优惠。两个人吃份量很足。
2-3人超值套餐",渔乐码头烤鱼牛蛙晚饭餐厅,2018,ID153
餐饮评论-1154,"不错的，便宜好吃
100元代金券1张，可叠加",渔乐码头烤鱼牛蛙晚饭餐厅,2018,ID154
餐饮评论-1155,"味道还不错，服务也好，下次还要来。
紫菜肉松卷1份，提供免费WiFi",小乔紫菜卷（小乔店）,2018,ID155
餐饮评论-1156,"第一次去  点的清江鱼  超级小的鱼  也就一斤多   再去了内脏就没什么了   我吃了三块肉就没看见还有鱼肉了  两个人还没开始吃鱼肉就没了 下面火一加热鱼肉又散了  加不到  好小啊  点了几样配菜才吃饱  不会去吃了  有一点值得推荐吃的茄子挺长的   烤鱼的酱香味特别水  味道淡  没有汤汁的感觉  服务马马虎虎  刚进去呆了几分钟才有一个女孩过来点菜其他人都和没看见一样  尴尬
100元代金券1张，可叠加",渔乐码头烤鱼牛蛙晚饭餐厅,2018,ID156
餐饮评论-1157,"味道非常好，7个人去吃烤鱼，开了三个锅，哈哈，美团美团非常实惠，服务态度也非常好，表示下次还会去，值得尝试！
2-3人超值套餐",渔乐码头烤鱼牛蛙晚饭餐厅,2018,ID157
餐饮评论-1158,"老熟客了，很实惠；一家了都经常光顾，东西好吃，即点即做，新鲜热辣
蟹柳海草紫菜卷1份",小乔紫菜卷（小乔店）,2018,ID158
餐饮评论-1159,"不错，配菜虽然只能选两个，两个人吃，还是不少
2-3人超值套餐",渔乐码头烤鱼牛蛙晚饭餐厅,2018,ID159
餐饮评论-1160,"蛋糕颜值很高，很适合少女心，哈哈。口感细腻，也很不错，下次再订
栗子蛋糕1个，约2磅，圆",鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,2018,ID160
餐饮评论-1161,"建议吃的话最好在下午傍晚的时候过去，不然看不到海因为外面会黑漆漆的一片，环境还不错，就是服务员过少了，不知道是不是淡季的原因，只有一个厨师上班，所以吃的东西像是赶出来的一样，牛排这些都不问几分熟，甚至拿还大部分是生得上来，味道一般
奶油南瓜汤、奶油土豆汤、海鲜沙拉、安格斯肉眼牛排、纽西兰羊排、提拉米苏、拿破仑酥、鲜榨果汁2杯1份",茂名浪漫海岸温德姆酒店望海餐厅,2018,ID161
餐饮评论-1162,"还是挺不错的，配合着果汁一点都不腻。
榴莲千层切件+粒粒芒果爽，建议单人使用",果之度（迎宾三路店）,2018,ID162
餐饮评论-1163,"口味还是可以的，份量可能少一点
主食3选1，有赠品",盛香烧鹅（东方市场店）,2018,ID163
餐饮评论-1164,"味道不错 就是配菜份量比较大
2-3人超值套餐",渔乐码头烤鱼牛蛙晚饭餐厅,2018,ID164
餐饮评论-1165,"好吃，阿姨好好人，好亲切，还给我们加汤，叫我们慢慢吃，暖心
2-3人超值套餐",渔乐码头烤鱼牛蛙晚饭餐厅,2018,ID165
